Team,Record,W6,W5,W4,W3,W2,W1,W0
Auburn,28-5,15,24,33,48,67,95,100
Florida,30-4,11,19,31,47,70,92,100
Duke,31-3,8,15,27,45,68,93,100
Houston,30-4,8,15,26,43,66,94,100
Alabama,25-8,7,14,23,39,57,86,100
Tennessee,27-7,6,12,21,40,61,92,100
Michigan State,27-6,5,10,18,36,57,88,100
St. John's,30-4,5,10,18,35,57,88,100
Memphis,29-5,2,5,11,20,42,66,100
Kentucky,22-11,2,5,10,22,47,76,100
Wisconsin,26-9,2,4,9,19,42,75,100
Clemson,27-6,2,4,9,18,39,67,100
Oregon,24-9,2,4,9,18,38,65,100
Michigan,25-9,2,4,8,14,35,60,100
Louisville,27-7,2,3,6,12,21,59,100
Texas Tech,25-8,1,3,7,17,35,66,100
Purdue,22-11,1,3,7,14,32,63,100
St. Mary's,28-5,1,3,7,14,26,62,100
Maryland,25-8,1,3,7,13,32,67,100
Iowa State,23-9,1,3,6,16,36,71,100
Ole Miss,22-11,1,3,6,15,33,58,100
Texas A&M,22-10,1,3,6,13,35,68,100
Drake,30-3,1,2,6,14,29,54,100
Illinois,21-12,1,2,5,12,29,60,100
Arizona,22-11,1,2,5,12,28,58,100
Kansas,21-12,1,2,5,12,24,57,100
BYU,24-9,1,2,4,10,25,51,100
Marquette,23-10,1,2,4,10,20,50,100
Utah State,26-7,1,2,4,10,19,51,100
VCU,28-6,1,2,4,9,24,49,100
Gonzaga,25-8,1,2,4,9,19,54,100
Missouri,22-11,1,1,4,10,22,46,100
New Mexico,26-7,1,1,4,10,20,50,100
Mississippi State,21-12,1,1,4,9,19,57,100
UCLA,22-10,1,1,4,9,18,49,100
North Carolina,22-13,0.1,1,3,8,21,42,100
Georgia,20-12,0.1,1,3,7,15,46,100
UC San Diego,30-4,0.1,1,3,6,19,40,100
U Conn,23-10,0.1,1,3,6,14,50,100
Arkansas,20-13,0.1,1,2,7,15,43,100
Akron,28-6,0.1,1,2,6,18,42,100
Liberty,28-6,0.1,1,2,6,17,36,100
Oklahoma,20-13,0.1,1,2,6,13,50,100
Colorado State,25-9,0.1,1,2,5,16,34,100
Creighton,24-10,0.1,1,2,5,11,41,100
Vanderbilt,20-12,0.1,1,2,5,11,38,100
McNeese,27-6,0.01,0.1,2,5,14,33,100
High Point,29-5,0.01,0.1,2,4,14,37,100
Baylor,19-14,0.01,0.1,2,4,11,43,100
Texas,19-15,0.01,0.1,1,5,15,40,100
UNCW,27-7,0.01,0.1,1,4,13,34,100
Grand Canyon,26-7,0.01,0.1,1,3,10,33,100
Lipscomb,25-9,00.1,0.1,1,3,10,29,100
Yale,22-7,0.01,0.1,1,2,11,32,100
Troy,23-10,0.01,0.1,1,2,9,24,100
Montana,25-9,0.001,0.01,0.1,2,8,25,100
Robert Morris,26-8,0.001,0.01,0.1,2,5,14,100
Omaha,22-12,0.001,0.01,0.1,1,4,12,100
Bryant,23-11,0.001,0.01,0.1,1,3,12,100
Norfolk State,24-10,0.001,0.01,0.1,1,3,8,100
Wofford,19-15,0.001,0.01,0.1,1,2,8,100
Mount St. Mary's,22-13,0.001,0.01,0.1,0.1,2,7,100
SIU Edwardsville,22-11,0.0001,0.001,0.01,0.1,1,6,100
Alabama State,19-15,0.00001,0.0001,0.001,0.01,0.1,5,100